Basin_ID2,Level 1 Basin,Level 1 Basin Name,Level 2 Basin,Level 2 Code,KEWASIP, Area (ha) ,ROI score,Normalised Pop density,Normalized Poverty Distribution  ,Biodiversity normalised,Climate_Vulnerability,Overall_score
1,3,Athi,A,3A,0,69873,0.27,0.74,0.76919478,0.059186995,0.687611165,0.411
2,3,Athi,A,3A,0,180386,0.35,0.5,0.480816514,0.532024864,0.694068058,0.481
3,3,Athi,A,3A,0,88870,0.42,0.65,0.650642343,0,0.706008917,0.44
4,3,Athi,B,3B,0,85457,0.63,1,1.000115282,0.043102382,0.430964802,0.546
5,3,Athi,B,3B,0,25407,0.73,0.85,0.817139454,0.016190816,0.429292929,0.543
6,3,Athi,B,3B,0,51656,0.73,0.73,0.672983442,0.197544079,0.429292929,0.554
7,3,Athi,B,3B,0,31386,0.79,0.73,0.670758869,0.125460937,0.425324051,0.56
8,3,Athi,C,3C,0,42131,0.79,0.75,0.692288923,0.145086228,0.429134013,0.571
9,3,Athi,D,3D,0,77774,0.78,0.66,0.653634076,0,0.672748245,0.576
10,3,Athi,D,3D,0,83430,0.79,0.55,0.538404308,0,0.715612632,0.568
11,3,Athi,E,3E,0,83628,0.75,0.72,0.736662466,0,0.693622193,0.585
12,3,Athi,E,3E,0,80979,0.77,0.65,0.651932934,0.013166087,0.715536654,0.585
13,3,Athi,E,3E,0,70743,0.78,0.66,0.671189618,0.033594172,0.734456838,0.599
14,3,Athi,E,3E,0,56542,0.77,0.56,0.549531056,0.014012701,0.73823334,0.569
15,3,Athi,F,3F,1,990670,0.39,0.48,0.455775947,0.519469272,0.711552273,0.494
16,3,Athi,F,3F,1,419904,0.48,0.47,0.455392172,0.006442123,0.747464567,0.432
17,3,Athi,G,3G,1,656960,0.23,0.38,0.333651467,0.370581893,0.728602611,0.378
18,3,Athi,H,3H,0,37546,0.3,0.44,0.389659512,0,0.755050505,0.349
19,3,Athi,H,3H,0,301502,0.23,0.21,0.165218517,5.48E-06,0.702684297,0.264
20,3,Athi,H,3H,0,299796,0.43,0.35,0.333347522,0.689733076,0.544307519,0.484
21,3,Athi,H,3H,0,39956,0.59,0.63,0.664830775,0,0.537878788,0.476
22,3,Athi,H,3H,0,73742,0.61,0.65,0.689597709,0.083435118,0.537878788,0.506
23,3,Athi,J,3J,0,311393,0.13,0.39,0.328845815,0.042748648,0.755026961,0.278
24,3,Athi,K,3K,1,394057,0.62,0.55,0.574913703,0.195643214,0.477325007,0.499
25,3,Athi,L,3L,0,737351,0.38,0.45,0.435366303,0.067707294,0.643302627,0.38
26,3,Athi,L,3L,0,71892,0.68,0.69,0.744731603,0.398831828,0.537878788,0.607
27,3,Athi,M,3M,0,21516,0.17,0.53,0.501095352,0,0.755050504,0.318
28,3,Athi,M,3M,0,520272,0.27,0.36,0.308643383,0.660186472,0.680107162,0.438
29,3,Athi,M,3M,1,177658,0.54,0.61,0.652508764,0.010307146,0.472240306,0.443
30,3,Athi,M,3M,1,110545,0.73,0.51,0.531067531,0.245502154,0.467032786,0.542
31,3,Athi,M,3M,0,130207,0.91,0.79,0.862441511,0,0.537348005,0.644
32,3,Athi,M,3M,1,18975,1.01,0.83,0.91469278,0,0.465909091,0.682
33,3,Athi,N,3N,0,298663,0.2,0.38,0.340219077,0.560084567,0.694444444,0.399
34,5,Ewaso Ng'iro,A,5A,1,126348,0.78,0.63,0.61112469,0.206197062,0.402956196,0.558
35,5,Ewaso Ng'iro,A,5A,1,56231,0.76,0.53,0.492594982,0.010837301,0.391761317,0.484
36,5,Ewaso Ng'iro,A,5A,1,101447,0.34,0.46,0.418321434,0.190696576,0.484848485,0.355
37,5,Ewaso Ng'iro,A,5A,1,51502,0.24,0.36,0.306919584,0.038915724,0.47789175,0.26
38,5,Ewaso Ng'iro,B,5B,0,27129,0.8,0.53,0.492386236,0.004430736,0.418151138,0.504
39,5,Ewaso Ng'iro,B,5B,0,43160,0.73,0.53,0.465292123,0.257319963,0.335663293,0.504
40,5,Ewaso Ng'iro,B,5B,0,70351,0.31,0.41,0.362389875,0.039373599,0.455953361,0.297
41,5,Ewaso Ng'iro,B,5B,0,119136,0.51,0.56,0.516420754,0.203943078,0.448295222,0.438
42,5,Ewaso Ng'iro,C,5C,0,237242,0.38,0.47,0.482462518,0.331005841,0.550994905,0.425
43,5,Ewaso Ng'iro,C,5C,0,228921,0.34,0.29,0.307532066,0.478288032,0.601010101,0.413
44,5,Ewaso Ng'iro,C,5C,0,221926,0.19,0.31,0.323402281,0.32843823,0.601010101,0.326
45,5,Ewaso Ng'iro,D,5D,0,220748,0.42,0.49,0.474704067,0.092727656,0.614461108,0.402
46,5,Ewaso Ng'iro,D,5D,0,137474,0.16,0.37,0.330810317,0.166012387,0.580445779,0.278
47,5,Ewaso Ng'iro,D,5D,0,112997,0.2,0.31,0.246561021,0.383870182,0.50989684,0.307
48,5,Ewaso Ng'iro,D,5D,0,205674,0.24,0.36,0.369047138,0.324814232,0.694589608,0.375
49,5,Ewaso Ng'iro,E,5E,0,1785755,0.17,0.36,0.353229326,0.08254635,0.78700034,0.311
50,5,Ewaso Ng'iro,E,5E,0,2534890,0.11,0.43,0.474924648,0,0.905670009,0.322
51,5,Ewaso Ng'iro,E,5E,1,5632602,0.11,0.26,0.268790245,0.015881507,0.852679813,0.273
52,5,Ewaso Ng'iro,F,5F,0,1784556,0.12,0.45,0.492856288,0.037234187,0.758888053,0.308
53,5,Ewaso Ng'iro,F,5F,0,753697,0.12,0.31,0.331538147,0,0.902777778,0.294
54,5,Ewaso Ng'iro,G,5G,0,2246705,0.12,0.5,0.566164327,0,0.969925071,0.355
55,5,Ewaso Ng'iro,G,5G,0,318097,0.03,0,0,0,1,0.21
56,5,Ewaso Ng'iro,H,5H,0,656043,0.12,0.52,0.589732742,0,1,0.365
57,5,Ewaso Ng'iro,J,5J,1,3027234,0.12,0.2,0.195107865,0.053521729,0.789838972,0.257
58,4,Tana,A,4A,0,48889,0.74,0.58,0.52970481,0.504978525,0.315631607,0.567
59,4,Tana,A,4A,0,67822,0.69,0.56,0.50800805,0.082467501,0.332855259,0.46
60,4,Tana,A,4A,0,41666,0.76,0.71,0.683163633,0.207011904,0.315699563,0.545
61,4,Tana,A,4A,0,45429,0.75,0.66,0.621007114,0.281464244,0.315190536,0.545
62,4,Tana,B,4B,0,29751,0.93,0.73,0.698036109,0,0.305732371,0.575
63,4,Tana,B,4B,0,25523,0.91,0,0,0.397490277,0.314964519,0.505
64,4,Tana,B,4B,0,18603,0.88,0.72,0.652660124,0.099689296,0.310961937,0.564
65,4,Tana,B,4B,0,54570,0.88,0.7,0.672079857,0.199712111,0.285463142,0.582
66,4,Tana,B,4B,0,59348,0.89,0.69,0.654108738,0.113180407,0.290653094,0.569
67,4,Tana,B,4B,0,39069,0.92,0.72,0.703872553,0,0.313021191,0.572
68,4,Tana,B,4B,0,52471,0.86,0.6,0.55755127,0,0.502529764,0.556
69,4,Tana,C,4C,0,52528,0.9,0.66,0.611474162,0.511412396,0.386779978,0.663
70,4,Tana,C,4C,0,32353,0.87,0.72,0.670054172,0.254978277,0.377749667,0.608
71,4,Tana,C,4C,0,105192,0.83,0.65,0.625962017,0,0.54343632,0.566
72,4,Tana,D,4D,0,79454,0.9,0.71,0.64738053,0.197073408,0.33494849,0.597
73,4,Tana,D,4D,0,42192,0.83,0.61,0.518880778,0.321422867,0.321223239,0.566
74,4,Tana,D,4D,0,34135,0.86,0.71,0.685054499,0.28762082,0.43211157,0.625
75,4,Tana,D,4D,0,51059,0.85,0.58,0.538319996,0,0.455134264,0.54
76,4,Tana,D,4D,0,57107,0.82,0.57,0.551732532,0,0.695568568,0.578
77,4,Tana,E,4E,0,64177,0.85,0.65,0.608020828,0.221421925,0.419535479,0.591
78,4,Tana,E,4E,0,120455,0.84,0.64,0.597542265,0.343964743,0.424050457,0.61
79,4,Tana,E,4E,0,66295,0.9,0.67,0.644073399,0.014386967,0.454564458,0.581
80,4,Tana,E,4E,0,318056,0.82,0.53,0.54186027,0,0.683453367,0.573
81,4,Tana,F,4F,0,225618,0.84,0.65,0.623666385,0.190889574,0.458693688,0.59
82,4,Tana,F,4F,1,400606,0.53,0.58,0.575468435,0.030270216,0.576226334,0.449
83,4,Tana,G,4G,1,395483,0.3,0.38,0.382067705,0.585048347,0.796245556,0.472
84,4,Tana,G,4G,0,552108,0.23,0.35,0.377289645,0.443332558,0.73760061,0.402
85,4,Tana,G,4G,0,197649,0.22,0.58,0.653838775,0.441325363,0.722967258,0.45
86,4,Tana,G,4G,0,733888,0.25,0.33,0.344149837,0.576069785,0.732309367,0.429
87,4,Tana,G,4G,0,1165240,0.31,0.33,0.34353696,0.459280367,0.752545627,0.436
88,4,Tana,G,4G,0,1616659,0.3,0.37,0.395666023,0.520082911,0.744272594,0.452
89,4,Tana,G,4G,0,704696,0.3,0.36,0.363333527,0.6047839,0.62720604,0.439
90,4,Tana,H,4H,0,548081,0.6,0.51,0.543922971,0,0.772907672,0.503
91,4,Tana,H,4H,0,907021,0.27,0.23,0.225737219,0.612908585,0.745093887,0.423
92,4,Tana,H,4H,0,659121,0.17,0.05,0.039113091,0.408919948,0.740203357,0.305
93,4,Tana,J,4J,0,864018,0.12,0.28,0.29416054,0,0.722222222,0.252
94,4,Tana,J,4J,0,353770,0.24,0.31,0.319602676,0.363037501,0.678947223,0.368
95,4,Tana,K,4K,0,773273,0.2,0.29,0.30310676,0.286450751,0.692180601,0.337
96,4,Tana,K,4K,0,1033554,0.27,0.33,0.337790415,0.431103432,0.658640506,0.394
97,1,Lake Victoria,G,1G,0,47150,0.8,0.62,0.614616495,0.385405826,0.195760867,0.557
98,1,Lake Victoria,G,1G,0,50410,0.78,0.67,0.674330458,0.101289349,0.164862329,0.498
99,1,Lake Victoria,G,1G,0,90175,0.8,0.67,0.686351445,0.26418403,0.184133065,0.549
100,1,Lake Victoria,G,1G,0,53085,0.8,0.67,0.686597302,0,0.192657221,0.496
101,1,Lake Victoria,G,1G,0,59866,0.85,0.68,0.692578543,0,0.183799123,0.516
102,1,Lake Victoria,G,1G,0,25705,0.85,0.7,0.71918608,0,0.205579942,0.524
103,1,Lake Victoria,G,1G,0,38911,0.85,0.65,0.660843047,0.346321078,0.165351194,0.573
